City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,pimentel,-6.8367,-79.9342,25.16,61,75,9.26,PE,1674943514
288,komsomolskiy,40.4272,71.7189,-0.6,69,100,0.0,UZ,1674943514
289,chupa,66.27,33.0549,-1.72,87,100,4.94,RU,1674943515
290,olafsvik,64.8945,-23.7142,3.72,77,100,8.77,IS,1674943515
291,sinnamary,5.3833,-52.95,24.31,82,74,3.95,GF,1674943516
292,kaitangata,-46.2817,169.8464,18.94,54,17,1.03,NZ,1674943516
293,leningradskiy,69.3833,178.4167,-16.1,94,100,3.84,RU,1674943516
294,pacific grove,36.6177,-121.9166,15.57,77,100,3.6,US,1674943517
295,merauke,-8.4667,140.3333,25.53,89,100,2.05,ID,1674943275
296,katherine,-14.4667,132.2667,24.18,100,75,0.0,AU,1674943517
297,saint-francois,46.4154,3.9054,1.69,75,100,3.09,FR,1674943517
298,huarmey,-10.0681,-78.1522,23.39,76,100,3.91,PE,1674943518
299,nanortalik,60.1432,-45.2371,-6.0,67,87,15.78,GL,1674943518
300,kalmunai,7.4167,81.8167,21.83,83,100,3.77,LK,1674943510
301,caravelas,-17.7125,-39.2481,25.06,85,78,2.39,BR,1674943519
302,razole,16.4833,81.8333,19.36,94,24,1.89,IN,1674943519
303,luyang,27.6239,110.0989,2.87,44,5,0.58,CN,1674943520
304,coquimbo,-29.9533,-71.3436,19.85,72,0,4.63,CL,1674943520
305,labuhan,-6.8844,112.2051,24.58,90,100,2.67,ID,1674943520
306,garden city,42.3256,-83.331,-0.62,78,100,1.54,US,1674943275
307,muroto,33.2833,134.15,3.6,62,21,5.45,JP,1674943521
308,wanning,18.8003,110.3967,11.63,68,7,4.35,CN,1674943522
309,le mars,42.7942,-96.1656,-13.27,85,75,7.72,US,1674943522
310,cumana,10.4635,-64.1775,24.45,75,7,5.18,VE,1674943523
311,dongying,37.4564,118.4856,-1.83,25,0,5.12,CN,1674943523
312,kirakira,-10.4544,161.9205,28.19,78,100,2.52,SB,1674943523
313,marzuq,14.4,46.4667,15.83,72,24,1.7,YE,1674943524
314,mugur-aksy,50.35,90.5,-16.38,69,100,2.78,RU,1674943524
315,champoton,19.35,-90.7167,27.55,61,57,1.8,MX,1674943375
316,the valley,18.217,-63.0578,25.08,78,75,4.12,AI,1674943524
317,dalvik,65.9702,-18.5286,2.9,87,92,4.33,IS,1674943525
318,telhara,21.0269,76.8389,21.06,48,0,3.25,IN,1674943525
319,port alfred,-33.5906,26.891,18.43,91,100,0.89,ZA,1674943525
320,hereford,52.0568,-2.7148,6.11,86,98,1.67,GB,1674943526
321,freeport,40.6576,-73.5832,10.99,53,0,5.66,US,1674943526
322,lyaskelya,61.7667,31.0167,-0.76,91,100,4.55,RU,1674943527
323,tecoanapa,16.5167,-98.75,28.4,58,0,4.42,MX,1674943527
324,blois,47.5833,1.3333,2.21,86,8,3.01,FR,1674943528
325,daru,-9.0763,143.2092,26.67,80,94,2.01,PG,1674943529
326,presidencia roque saenz pena,-26.7852,-60.4388,31.22,42,100,2.02,AR,1674943530
327,kaeo,-35.1,173.7833,22.96,89,100,3.86,NZ,1674943531
328,taoudenni,22.6783,-3.9836,16.14,23,61,2.24,ML,1674943531
329,manacapuru,-3.2997,-60.6206,26.0,85,55,1.83,BR,1674943531
330,plouzane,48.3833,-4.6167,5.18,75,100,2.57,FR,1674943531
331,stulpicani,47.4667,25.7667,-0.89,95,82,1.31,RO,1674943532
332,cabo san lucas,22.8909,-109.9124,23.06,62,100,5.66,MX,1674943532
333,koshurnikovo,54.1667,93.3,-18.04,99,73,1.31,RU,1674943532
334,bathsheba,13.2167,-59.5167,25.34,65,20,3.6,BB,1674943533
335,fairbanks,64.8378,-147.7164,-7.65,85,100,0.0,US,1674943373
336,ust-kut,56.7938,105.7672,-14.54,99,100,1.48,RU,1674943533
337,tusnad,46.2,25.9,-2.2,82,100,1.03,RO,1674943534
338,jacareacanga,-6.2222,-57.7528,23.94,97,99,1.35,BR,1674943534
339,saint-georges,12.0564,-61.7485,23.7,78,46,4.03,GD,1674943247
340,necochea,-38.5473,-58.7368,23.0,64,6,6.08,AR,1674943534
341,strezhevoy,60.7333,77.5889,-19.32,99,84,3.4,RU,1674943535
342,naze,28.3667,129.4833,10.38,70,98,5.3,JP,1674943535
343,havoysund,70.9963,24.6622,0.13,78,54,8.11,NO,1674943535
344,asmar,35.0333,71.3581,7.76,78,100,4.91,AF,1674943536
345,hermiston,45.8404,-119.2895,6.75,55,75,6.17,US,1674943307
